구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
283,음악공장,메타ART! 나도 예술다빈치~,,꿈다락예술문화학교,융복합,중장년,,,"원주시 원일로 139, 4층 원주영상미디어센터",강원특별자치도,원주시,37.3515496042529,127.946802942893
284,투라이트,나의 독립일지 2기,동구인문학당,생애전환문화예술교육,"문학,융복합",청년,2025-08-02,2025-10-25,광주광역시 동구 동계천로 168-5,광주,동구,35.148749548552,126.927679685572
285,투라이트,나의 독립일지 1기,동구청년센터 아지트,생애전환문화예술교육,"문학,융복합",청년,2025-07-03,2025-09-18,광주광역시 동구 중앙로246번길 7-9,광주,동구,35.153205447352,126.92079552239
286,문화공감 창,예술쉼표 포켓시네마-자화話자찬,,꿈다락예술문화학교,미디어,"청년,중장년",,,곡성군 곡성읍 읍내18길 6 1층 곡성 행복전남 문화지소,전남,곡성군,35.2824626593917,127.298563999078
287,상상창고 숨,움직이는 예술정거장마을예술학당,,꿈다락예술문화학교,미술,노년,,,제주시 해안마을길 75 상상창고 숨,제주특별자치도,제주시,33.456602443067,126.455010264592
288,상상창고 숨,꼬마작곡가 탐나는 음악가,,꿈다락예술문화학교,음악,"아동,청소년",,,제주시 연신로 156 아트락소극장,제주특별자치도,제주시,33.4887702054627,126.553008346642
289,상상창고 숨,예술로 레벨업 나의 일상 다큐멘터리,,꿈다락예술문화학교,사진,청년,,,제주시 해안마을길 75 상상창고 숨,제주특별자치도,제주시,33.456602443067,126.455010264592
290,상상창고 숨,생애전환 문화예술학교 마음의 소리,,꿈다락예술문화학교,기타,중장년,,,제주시 해안마을길 75 상상창고 숨,제주특별자치도,제주시,33.456602443067,126.455010264592
291,아트그릿 랩,예술로 프렌즈_놀이터 예술탐험대,"앵무스튜디오(실내) , 샛별놀이터, 안말어린이공원,성내하니공원,선린어린이공원",꿈다락 문화예술학교,"음악,디자인,사진,미술,문학,미디어,융복합",아동,2024-08-31,2024-11-09,서울특별시 강동구 성안로 34,서울,강동구,37.5266882749016,127.130297556728
292,움직이는 세상,32픽셀의 지구,선유도 공간 스페이스 1층,2025 꿈다락문화예술학교,"음악,연극/뮤지컬,미디어,융복합",아동,2025-08-02,2025-11-28,서울특별시 영등포구 양평로20길 16-1,서울,영등포구,37.5384741495059,126.896327754548
293,움직이는 세상,"멀티버스, 나의 또다른 이야기",교육실 1A,2025 꿈다락문화예술학교,"음악,연극/뮤지컬,미디어,융복합",중장년,2025-08-21,2025-10-29,서울특별시 은평구 통일로62길 7,서울,은평구,37.6072253744222,126.934431196604
294,주식회사 잇다,예술로어울림 1969예술공장,3층,2024예술로어울림,"음악,영화,미술,무용,융복합","아동,청소년,청년,중장년,노년",2024-08-05,2024-11-23,대전광역시 대덕구 대화서로 10,대전,대덕구,36.3689876035477,127.401036792846
295,책만드는 여자,보물찾으러 왔습니다~ 중앙시장님!,계룡문고,2024 생애주기별 문화예술교육,"디자인,공예,미술,문학,무용",중장년,2024-04-25,2024-11-07,대전광역시 중구 중앙로 119,대전,중구,36.3279462175106,127.422870350103
296,타악그룹 얼쑤,유소년감성난타'꿈트리(TREE)',임방울 전수관,예술시민문화예술교육,"국악,음악,융복합",아동,2025-05-12,2025-11-01,광주광역시 광산구 광산로68번길 13,광주,광산구,35.140501036363,126.799231591456
